EGFR	RIOK2	0.63
KIT	JAK3	0.52
HIPK1	HIPK1	0.63
DYRK2	DYRK2	0.63
AURKB	AURKA	0.73
JAK2	LCK	0.0
BTK	JAK2	0.0
MYLK	PAK3	0.0
EPHA5	FYN	0.63
AKT1	PDK1	0.88
FGR	LCK	0.0
FYN	HCK	0.0
MYLK2	PAK6	0.0
EPHA7	LCK	0.0
EPHA5	EPHA7	0.0
FES	FYN	0.0
FYN	JAK1	0.63
AKT1	AURKA	0.84
PAK6	RAF1	0.0
CDK5	EPHA5	0.0
ABL1	EPHA8	0.0
IGF1R	PRKX	0.0
FYN	LCK	0.56
TAOK1	TAOK2	0.56
EPHB1	FYN	0.0
MYLK	PAK6	0.0
ABL1	NTRK3	0.0
BTK	FGR	0.0
BTK	LCK	0.0
EPHA1	FYN	0.63
AKT3	PDK1	0.0
EPHB2	LCK	0.0
GSK3B	PRKX	0.0
ABL1	EPHB6	0.0
MYLK2	PAK4	0.0
AKT1	JAK1	0.0
ABL1	EPHB3	0.0
TAOK1	TAOK3	0.56
JAK1	JAK2	0.77
AKT1	JAK3	0.0
FGR	HCK	0.0
ABL1	EPHA7	0.0
JAK2	TYK2	0.63
ABL1	NTRK2	0.0
AURKA	BUB1B	0.0
PDK1	ROCK1	0.0
HCK	LCK	0.56
PAK4	SRC	0.0
AKT3	ILK	0.0
HCK	ZAP70	0.0
EPHA6	FYN	0.0
BTK	ZAP70	0.0
ABL1	EPHA1	0.0
CDK5	EPHA7	0.0
ULK1	ULK2	0.0
ABL1	EPHA5	0.0
FYN	LIMK1	0.72
ERBB2	RIPK1	0.0
EPHB1	SRC	0.0
FER	KIT	0.0
EPHA6	SRC	0.0
EPHA6	FGR	0.0
EPHA1	SRC	0.0
HCK	JAK1	0.0
EPHA7	HCK	0.0
EPHA1	HCK	0.0
EPHB2	HCK	0.0
EPHA1	FGR	0.0
EPHA3	FGR	0.0
EPHB1	FGR	0.0
PDK1	SRC	0.0
BUB1B	TAOK1	0.0
ATM	TAOK1	0.0
ATM	TAOK2	0.0
BUB1	TAOK1	0.0
LCK	SRC	0.56
EPHA5	FGR	0.0
EPHA5	SRC	0.0
EPHB2	FGR	0.0
BTK	SRC	0.0
FLT3	PIM1	0.0
EPHA7	FGR	0.0
EPHB1	HCK	0.0
PDK1	PDPK1	0.0
EPHA5	HCK	0.0
AURKB	TTK	0.63
CDK15	MARK2	0.63
EGFR	AKT1	0.89
CDK1	CDK3	0.83
CDK1	ABL1	0.52
CDK5	CDK20	0.83
CDK5	CDK14	0.83
EGFR	NTRK2	0.87
BRSK1	PAK1	0.7
EGFR	PIM1	0.87
ROR2	ROR2	0.63
MTOR	SGK1	0.83
CDK7	PI4KB	0.83
CDK7	CDK20	0.83
CDK14	ICK	0.83
EGFR	RET	0.89
EGFR	RAF1	0.87
CDK16	CDK17	0.83
CDK16	CDK18	0.74
CDK1	ICK	0.83
CLK2	SRPK2	0.73
ABL2	ABL2	0.62
STK25	TAOK2	0.85
EGFR	FRK	0.89
LIMK2	CDK4	0.72
CDK3	AKT2	0.83
EGFR	FGR	0.89
CDK13	NEK3	0.83
CDK14	CDK17	0.83
CDK1	CDK17	0.83
PLK2	PAK2	0.83
ALK	SRC	0.63
TRIB3	STK40	0.85
AURKA	PEAK1	0.83
EGFR	ITK	0.87
CDK18	FGR	0.73
